date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-07-27,79.3391,80.7207,79.1775,80.27,18223602,18223602,-2.2733,-2.754,79.9559,"Jul 27, 18",-0.021454372125286045
2018-07-30,80.4758,80.4758,79.0854,80.0936,11282875,11282875,-0.176375,-0.22,79.8001,"Jul 30, 18",-0.02360480751530848
2018-07-31,79.9956,80.4954,79.7997,79.8683,11716849,11716849,-0.225367,-0.281,80.0466,"Jul 31, 18",-0.026351367001544473
2018-08-01,79.2608,79.2999,78.6091,78.7708,8936719,8936719,-1.0974,-1.374,78.9131,"Aug 1, 18",-0.03973063480511379
2018-08-02,78.2809,78.6385,77.8498,78.3005,8364294,8364294,-0.470331,-0.597,78.2879,"Aug 2, 18",-0.04546391011082542
2018-08-03,78.3593,78.6826,78.0261,78.5846,7811180,7811180,0.284158,0.363,78.3659,"Aug 3, 18",-0.042000538827915226
2018-08-06,78.6336,78.81,78.1339,78.565,10041825,10041825,-0.019597,-0.025,78.5325,"Aug 6, 18",-0.042239476093473234
2018-08-07,79.2803,79.9467,78.6924,79.6331,10698498,10698498,1.068,1.359,79.5619,"Aug 7, 18",-0.029218614188241104
2018-08-08,79.3881,79.5939,78.7316,79.104,7275062,7275062,-0.529124,-0.664,79.044,"Aug 8, 18",-0.035668701290626936
2018-08-09,79.104,79.2754,78.4965,78.7022,9828499,9828499,-0.401742,-0.508,78.7102,"Aug 9, 18",-0.040566915234566826
2018-08-10,78.7121,78.726,78.0637,78.623,12954268,12954268,-0.07921,-0.101,78.4606,"Aug 10, 18",-0.04153241683825036
2018-08-13,78.6527,78.9497,77.643,77.7716,10308844,10308844,-0.85137,-1.083,78.07,"Aug 13, 18",-0.05191155907784834
2018-08-14,78.1973,78.2765,77.2965,77.5242,8005941,8005941,-0.247491,-0.318,77.6437,"Aug 14, 18",-0.054927532521678125
2018-08-15,76.9995,77.1183,75.7422,76.1679,16307784,16307784,-1.3563,-1.749,76.1956,"Aug 15, 18",-0.07146174748475854
2018-08-16,76.5045,77.3163,76.4253,77.2173,11519944,11519944,1.0494,1.378,77.0155,"Aug 16, 18",-0.05866885123595181
2018-08-17,77.5539,77.7024,77.0193,77.4747,10178657,10178657,0.257391,0.333,77.3924,"Aug 17, 18",-0.055530971023980275
2018-08-20,77.4747,78.2072,77.3856,78.0191,8152096,8152096,0.544481,0.703,77.9763,"Aug 20, 18",-0.04889436656633744
2018-08-21,78.2567,78.7814,77.8805,78.0389,9192229,9192229,0.019799,0.025,78.3819,"Aug 21, 18",-0.048652991165416506
2018-08-22,78.3161,79.2467,78.227,79.1576,10098237,10098237,1.1187,1.433,79.0164,"Aug 22, 18",-0.03501528101338653
2018-08-23,78.7616,78.8309,78.1033,78.2864,7203899,7203899,-0.871169,-1.101,78.3767,"Aug 23, 18",-0.045635798653905435
2018-08-24,78.722,79.2467,78.623,78.821,6545216,6545216,0.534581,0.683,78.8848,"Aug 24, 18",-0.039118662829041605
2018-08-27,79.1081,79.6625,79.0578,79.5932,6671872,6671872,0.772173,0.98,79.4693,"Aug 27, 18",-0.029705022193127165
2018-08-28,79.7714,80.009,79.3952,79.4744,8823352,8823352,-0.118796,-0.149,79.6593,"Aug 28, 18",-0.031153274598652383
2018-08-29,79.6328,80.2268,79.2912,80.0486,8004792,8004792,0.57418,0.722,79.9293,"Aug 29, 18",-0.02415338797194687
2018-08-30,79.6427,79.9694,79.316,79.7021,7450853,7450853,-0.346488,-0.433,79.6795,"Aug 30, 18",-0.028377457488062235
2018-08-31,79.4348,79.6526,78.9695,79.3655,10700016,10700016,-0.336588,-0.422,79.31,"Aug 31, 18",-0.03248083930371731
2018-09-04,79.6031,79.8803,79.0091,79.4843,8855027,8855027,0.118796,0.15,79.5431,"Sep 4, 18",-0.031032586898191918
2018-09-05,79.0982,80.6128,78.8012,80.5436,13878418,13878418,1.0593,1.333,80.1338,"Sep 5, 18",-0.018119002948924722
2018-09-06,80.2961,80.8207,79.5338,79.6526,13320645,13320645,-0.890968,-1.106,79.9763,"Sep 6, 18",-0.02898089599036438
2018-09-07,79.3457,81.1078,79.019,81.0088,16417783,16417783,1.3563,1.703,80.6366,"Sep 7, 18",-0.012447900094965422
2018-09-10,81.4107,81.9097,80.8356,80.89,10817038,10817038,-0.118796,-0.147,81.1234,"Sep 10, 18",-0.013896152500490642
2018-09-11,81.1375,82.3552,80.8108,82.0285,11891917,11891917,1.1385,1.407,81.914,"Sep 11, 18",-0.00001706694753990731
2018-09-12,82.4146,82.9393,82.0384,82.2958,11556657,11556657,0.26729,0.326,82.453,"Sep 12, 18",0.0032415009648920946
2018-09-13,82.3156,82.4146,81.187,81.4939,11162714,11162714,-0.801871,-0.974,81.5829,"Sep 13, 18",-0.0065342027724037376
2018-09-14,81.5929,82.3156,81.4444,82.0879,9442579,9442579,0.593979,0.729,81.9731,"Sep 14, 18",0.0007070592552228753
2018-09-17,82.1671,82.771,82.1572,82.573,8403325,8403325,0.485083,0.591,82.5207,"Sep 17, 18",0.006620756577784387
2018-09-18,83.0581,83.2858,82.6126,82.7908,9219890,9219890,0.217792,0.264,82.9035,"Sep 18, 18",0.009275885987914243
2018-09-19,82.8007,83.9193,82.8007,83.7807,10413591,10413591,0.989965,1.196,83.6096,"Sep 19, 18",0.02134343696627691
2018-09-20,84.0084,84.4836,83.6916,83.9688,11198171,11198171,0.188093,0.225,83.985,"Sep 20, 18",0.023636503275025374
